,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
3670,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2004,2004-01-01,NA,,A,Annually
3671,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2005,2005-01-01,NA,,A,Annually
3672,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2006,2006-01-01,NA,,A,Annually
3673,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2007,2007-01-01,NA,,A,Annually
3674,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2008,2008-01-01,NA,,A,Annually
3675,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2009,2009-01-01,NA,,A,Annually
3676,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2010,2010-01-01,NA,,A,Annually
3677,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2011,2011-01-01,NA,,A,Annually
3678,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2012,2012-01-01,NA,,A,Annually
3679,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2013,2013-01-01,NA,,A,Annually
3680,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2014,2014-01-01,NA,,A,Annually
3681,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2015,2015-01-01,100.0,100.0,A,Annually
3682,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2016,2016-01-01,43.3,43.3,A,Annually
3683,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2017,2017-01-01,43.5,43.5,A,Annually
3684,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2018,2018-01-01,71.2,71.2,A,Annually
3685,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2019,2019-01-01,79.8,79.8,A,Annually
3686,annual,STATPOL,AINV,INVESTMENTS,AINV-49,"Investment outlays by sectionsa (from the beginning of the year to the end of the period) - in industry - water supply; sewerage, waste managment and remediation activities - 2015=100 (line 49)",2020,2020-01-01,71.1,71.1,A,Annually
3687,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2000,2000-01-01,NA,,A,Annually
3688,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2001,2001-01-01,NA,,A,Annually
3689,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2002,2002-01-01,NA,,A,Annually
3690,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2003,2003-01-01,NA,,A,Annually
3691,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2004,2004-01-01,NA,,A,Annually
3692,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2005,2005-01-01,NA,,A,Annually
3693,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2006,2006-01-01,165.4,165.4,A,Annually
3694,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2007,2007-01-01,157.9,157.9,A,Annually
3695,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2008,2008-01-01,95.2,95.2,A,Annually
3696,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2009,2009-01-01,93.9,93.9,A,Annually
3697,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2010,2010-01-01,92.5,92.5,A,Annually
3698,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2011,2011-01-01,116.0,116.0,A,Annually
3699,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2012,2012-01-01,65.9,65.9,A,Annually
3700,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2013,2013-01-01,124.6,124.6,A,Annually
3701,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2014,2014-01-01,114.4,114.4,A,Annually
3702,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2015,2015-01-01,103.5,103.5,A,Annually
3703,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2016,2016-01-01,93.6,93.6,A,Annually
3704,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2017,2017-01-01,94.1,94.1,A,Annually
3705,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2018,2018-01-01,140.1,140.1,A,Annually
3706,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2019,2019-01-01,101.3,101.3,A,Annually
3707,annual,STATPOL,AINV,INVESTMENTS,AINV-50,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - previous year=100 (line 50),2020,2020-01-01,108.8,108.8,A,Annually
3708,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2000,2000-01-01,NA,,A,Annually
3709,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2001,2001-01-01,NA,,A,Annually
3710,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2002,2002-01-01,NA,,A,Annually
3711,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2003,2003-01-01,NA,,A,Annually
3712,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2004,2004-01-01,NA,,A,Annually
3713,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2005,2005-01-01,100.0,100.0,A,Annually
3714,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2006,2006-01-01,165.4,165.4,A,Annually
3715,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2007,2007-01-01,205.1,205.1,A,Annually
3716,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2008,2008-01-01,195.3,195.3,A,Annually
3717,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2009,2009-01-01,233.5,233.5,A,Annually
3718,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2010,2010-01-01,216.0,216.0,A,Annually
3719,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2011,2011-01-01,250.6,250.6,A,Annually
3720,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2012,2012-01-01,165.1,165.1,A,Annually
3721,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2013,2013-01-01,205.7,205.7,A,Annually
3722,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2014,2014-01-01,235.3,235.3,A,Annually
3723,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2015,2015-01-01,243.5,243.5,A,Annually
3724,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2016,2016-01-01,227.9,227.9,A,Annually
3725,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2017,2017-01-01,214.5,214.5,A,Annually
3726,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2018,2018-01-01,300.5,300.5,A,Annually
3727,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2019,2019-01-01,304.4,304.4,A,Annually
3728,annual,STATPOL,AINV,INVESTMENTS,AINV-51,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2005=100 (line 51),2020,2020-01-01,331.2,331.2,A,Annually
3729,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2000,2000-01-01,NA,,A,Annually
3730,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2001,2001-01-01,NA,,A,Annually
3731,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2002,2002-01-01,NA,,A,Annually
3732,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2003,2003-01-01,NA,,A,Annually
3733,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2004,2004-01-01,NA,,A,Annually
3734,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2005,2005-01-01,NA,,A,Annually
3735,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2006,2006-01-01,NA,,A,Annually
3736,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2007,2007-01-01,NA,,A,Annually
3737,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2008,2008-01-01,NA,,A,Annually
3738,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2009,2009-01-01,NA,,A,Annually
3739,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2010,2010-01-01,100.0,100.0,A,Annually
3740,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2011,2011-01-01,116.0,116.0,A,Annually
3741,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2012,2012-01-01,76.4,76.4,A,Annually
3742,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2013,2013-01-01,95.2,95.2,A,Annually
3743,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2014,2014-01-01,108.9,108.9,A,Annually
3744,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2015,2015-01-01,112.7,112.7,A,Annually
3745,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2016,2016-01-01,105.5,105.5,A,Annually
3746,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2017,2017-01-01,99.3,99.3,A,Annually
3747,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2018,2018-01-01,139.1,139.1,A,Annually
3748,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2019,2019-01-01,140.9,140.9,A,Annually
3749,annual,STATPOL,AINV,INVESTMENTS,AINV-52,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2010=100 (line 52),2020,2020-01-01,153.3,153.3,A,Annually
3750,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2000,2000-01-01,NA,,A,Annually
3751,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2001,2001-01-01,NA,,A,Annually
3752,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2002,2002-01-01,NA,,A,Annually
3753,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2003,2003-01-01,NA,,A,Annually
3754,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2004,2004-01-01,NA,,A,Annually
3755,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2005,2005-01-01,NA,,A,Annually
3756,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2006,2006-01-01,NA,,A,Annually
3757,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2007,2007-01-01,NA,,A,Annually
3758,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2008,2008-01-01,NA,,A,Annually
3759,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2009,2009-01-01,NA,,A,Annually
3760,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2010,2010-01-01,NA,,A,Annually
3761,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2011,2011-01-01,NA,,A,Annually
3762,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2012,2012-01-01,NA,,A,Annually
3763,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2013,2013-01-01,NA,,A,Annually
3764,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2014,2014-01-01,NA,,A,Annually
3765,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2015,2015-01-01,100.0,100.0,A,Annually
3766,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2016,2016-01-01,93.6,93.6,A,Annually
3767,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2017,2017-01-01,88.1,88.1,A,Annually
3768,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2018,2018-01-01,123.4,123.4,A,Annually
3769,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2019,2019-01-01,125.0,125.0,A,Annually
3770,annual,STATPOL,AINV,INVESTMENTS,AINV-53,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - construction - 2015=100 (line 53),2020,2020-01-01,136.0,136.0,A,Annually
3771,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2000,2000-01-01,NA,,A,Annually
3772,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2001,2001-01-01,NA,,A,Annually
3773,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2002,2002-01-01,NA,,A,Annually
3774,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2003,2003-01-01,NA,,A,Annually
3775,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2004,2004-01-01,NA,,A,Annually
3776,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2005,2005-01-01,NA,,A,Annually
3777,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2006,2006-01-01,110.9,110.9,A,Annually
3778,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2007,2007-01-01,124.0,124.0,A,Annually
3779,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2008,2008-01-01,111.8,111.8,A,Annually
3780,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2009,2009-01-01,87.9,87.9,A,Annually
3781,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2010,2010-01-01,85.7,85.7,A,Annually
3782,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2011,2011-01-01,103.9,103.9,A,Annually
3783,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2012,2012-01-01,106.1,106.1,A,Annually
3784,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2013,2013-01-01,94.2,94.2,A,Annually
3785,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2014,2014-01-01,103.4,103.4,A,Annually
3786,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2015,2015-01-01,100.9,100.9,A,Annually
3787,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2016,2016-01-01,98.0,98.0,A,Annually
3788,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2017,2017-01-01,121.2,121.2,A,Annually
3789,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2018,2018-01-01,110.7,110.7,A,Annually
3790,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2019,2019-01-01,96.8,96.8,A,Annually
3791,annual,STATPOL,AINV,INVESTMENTS,AINV-54,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - previous year=100 (line 54),2020,2020-01-01,87.3,87.3,A,Annually
3792,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2000,2000-01-01,NA,,A,Annually
3793,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2001,2001-01-01,NA,,A,Annually
3794,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2002,2002-01-01,NA,,A,Annually
3795,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2003,2003-01-01,NA,,A,Annually
3796,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2004,2004-01-01,NA,,A,Annually
3797,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2005,2005-01-01,100.0,100.0,A,Annually
3798,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2006,2006-01-01,110.9,110.9,A,Annually
3799,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2007,2007-01-01,137.5,137.5,A,Annually
3800,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2008,2008-01-01,153.7,153.7,A,Annually
3801,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2009,2009-01-01,135.1,135.1,A,Annually
3802,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2010,2010-01-01,115.8,115.8,A,Annually
3803,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2011,2011-01-01,120.3,120.3,A,Annually
3804,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2012,2012-01-01,127.6,127.6,A,Annually
3805,annual,STATPOL,AINV,INVESTMENTS,AINV-55,Investment outlays by sectionsa (from the beginning of the year to the end of the period) - trade; repair of motor vehicles∆ - 2005=100 (line 55),2013,2013-01-01,120.2,120.2,A,Annually
