,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
29,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2008,2008-01-01,891.0,891.0,A,Annually
30,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2009,2009-01-01,-978.0,-978.0,A,Annually
31,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2010,2010-01-01,-46.0,-46.0,A,Annually
32,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2011,2011-01-01,758.0,758.0,A,Annually
33,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2012,2012-01-01,-124.0,-124.0,A,Annually
34,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2013,2013-01-01,-427.0,-427.0,A,Annually
35,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2014,2014-01-01,-378.0,-378.0,A,Annually
36,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2015,2015-01-01,-862.0,-862.0,A,Annually
37,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2016,2016-01-01,-1438.0,-1438.0,A,Annually
38,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2017,2017-01-01,-162.0,-162.0,A,Annually
39,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2018,2018-01-01,-1474.0,-1474.0,A,Annually
40,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2019,2019-01-01,-1752.0,-1752.0,A,Annually
41,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-11,Current account of the balance of payments - balance on secondary income - in mln EUR (line 11),2020,2020-01-01,-1577.0,-1577.0,A,Annually
42,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2000,2000-01-01,NA,,A,Annually
43,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2001,2001-01-01,NA,,A,Annually
44,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2002,2002-01-01,NA,,A,Annually
45,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2003,2003-01-01,NA,,A,Annually
46,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2004,2004-01-01,955.0,955.0,A,Annually
47,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2005,2005-01-01,786.0,786.0,A,Annually
48,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2006,2006-01-01,1666.0,1666.0,A,Annually
49,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2007,2007-01-01,3418.0,3418.0,A,Annually
50,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2008,2008-01-01,4067.0,4067.0,A,Annually
51,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2009,2009-01-01,5080.0,5080.0,A,Annually
52,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2010,2010-01-01,6446.0,6446.0,A,Annually
53,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2011,2011-01-01,7254.0,7254.0,A,Annually
54,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2012,2012-01-01,8549.0,8549.0,A,Annually
55,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2013,2013-01-01,9006.0,9006.0,A,Annually
56,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2014,2014-01-01,10034.0,10034.0,A,Annually
57,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2015,2015-01-01,10158.0,10158.0,A,Annually
58,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2016,2016-01-01,4457.0,4457.0,A,Annually
59,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2017,2017-01-01,5891.0,5891.0,A,Annually
60,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2018,2018-01-01,10423.0,10423.0,A,Annually
61,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2019,2019-01-01,10544.0,10544.0,A,Annually
62,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-12,Capital account - in mln EUR (line 12),2020,2020-01-01,12065.0,12065.0,A,Annually
63,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2000,2000-01-01,NA,,A,Annually
64,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2001,2001-01-01,NA,,A,Annually
65,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2002,2002-01-01,NA,,A,Annually
66,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2003,2003-01-01,NA,,A,Annually
67,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2004,2004-01-01,-5921.0,-5921.0,A,Annually
68,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2005,2005-01-01,-5698.0,-5698.0,A,Annually
69,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2006,2006-01-01,-8488.0,-8488.0,A,Annually
70,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-13,Financial account - in mln EUR (line 13),2007,2007-01-01,-18237.0,-18237.0,A,Annually
