,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,Frequency
1403,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2008-10,2008-10-01,113.18,113.18,M,Monthly
1404,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2008-11,2008-11-01,110.49,110.49,M,Monthly
1405,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2008-12,2008-12-01,111.12,111.12,M,Monthly
1406,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-01,2009-01-01,110.11,110.11,M,Monthly
1407,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-02,2009-02-01,108.34,108.34,M,Monthly
1408,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-03,2009-03-01,105.76,105.76,M,Monthly
1409,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-04,2009-04-01,110.72,110.72,M,Monthly
1410,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-05,2009-05-01,112.05,112.05,M,Monthly
1411,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-06,2009-06-01,110.74,110.74,M,Monthly
1412,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-07,2009-07-01,112.32,112.32,M,Monthly
1413,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-08,2009-08-01,113.19,113.19,M,Monthly
1414,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-09,2009-09-01,111.92,111.92,M,Monthly
1415,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-10,2009-10-01,114.49,114.49,M,Monthly
1416,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-11,2009-11-01,113.5,113.5,M,Monthly
1417,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2009-12,2009-12-01,113.62,113.62,M,Monthly
1418,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2010-01,2010-01-01,119.08,119.08,M,Monthly
1419,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2010-02,2010-02-01,119.99,119.99,M,Monthly
1420,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),2010-03,2010-03-01,118.78,118.78,M,Monthly
