,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,ADJUSTMENT,BS_REP_SECTOR,BS_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,CURRENCY_TRANS,BS_SUFFIX,Frequency code list,Area code list,Adjustment indicator code list,Balance sheet reference sector breakdown,Balance sheet item,Original maturity,Data Type,Counterpart geo area,Balance sheet counterpart sector,Currency code list,Suffix
192,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-01,1986-01-01,444408.0,444408.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
193,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-02,1986-02-01,441394.0,441394.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
194,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-03,1986-03-01,450993.0,450993.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
195,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-04,1986-04-01,449814.0,449814.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
196,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-05,1986-05-01,446008.0,446008.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
197,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-06,1986-06-01,451171.0,451171.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
198,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-07,1986-07-01,454382.0,454382.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
199,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-08,1986-08-01,451233.0,451233.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
200,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-09,1986-09-01,454333.0,454333.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
201,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-10,1986-10-01,454420.0,454420.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
202,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-11,1986-11-01,453273.0,453273.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
203,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1986-12,1986-12-01,471843.0,471843.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
204,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-01,1987-01-01,467075.0,467075.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
205,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-02,1987-02-01,458084.0,458084.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
206,monthly,BDF,BSI1,Data on monetary aggregates in France.,M.FR.N.V.M20.A.1.U2.2300.Z01.E,"France monetary agregates, M2 [stocks]",1987-03,1987-03-01,459283.0,459283.0,M,FR,N,V,M20,A,1,U2,2300,Z01,E,Monthly,France,Neither seasonally nor working day adjusted,"MFIs, central government and post office giro institutions",Monetary aggregate M2,Total,Outstanding amounts at the end of the period (stocks),Euro area (changing composition),Non-MFIs excluding central government,All currencies combined,Euro
