,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,SUBJECT,MEASURE,FREQUENCY,Country,Subject,Measure,Frequency
14,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1974,1974-01-01,25.1916666666667,25.1916666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
15,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1975,1975-01-01,29.4,29.4,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
16,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1976,1976-01-01,35.6833333333333,35.6833333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
17,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1977,1977-01-01,42.7666666666667,42.7666666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
18,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1978,1978-01-01,47.225,47.225,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
19,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1979,1979-01-01,53.4,53.4,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
20,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1980,1980-01-01,60.8083333333333,60.8083333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
21,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1981,1981-01-01,68.3833333333334,68.3833333333334,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
22,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1982,1982-01-01,76.0833333333333,76.0833333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
23,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1983,1983-01-01,85.9833333333333,85.9833333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
24,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1984,1984-01-01,97.6666666666667,97.6666666666667,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
25,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1985,1985-01-01,113.183333333333,113.183333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
26,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1986,1986-01-01,125.325,125.325,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
27,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1987,1987-01-01,138.683333333333,138.683333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
28,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1988,1988-01-01,156.808333333333,156.808333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
29,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1989,1989-01-01,192.408333333333,192.408333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
30,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1990,1990-01-01,217.258333333333,217.258333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
31,annual,OECD,MEI,Main Economic Indicators Publication,AUS.MABMM301.STSA.A,"Australia – Monetary aggregates and their components > Broad money and components > M3 > M3 – Level, rate or national currency, s.a. – Annual",1991,1991-01-01,228.258333333333,228.258333333333,AUS,MABMM301,STSA,A,Australia,Monetary aggregates and their components > Broad money and components > M3 > M3,"Level, rate or national currency, s.a.",Annual
